Politique,Repere_groupe,Clients,Recence_moy,Frequence_moy,Montant_brut_moy_GBP,Montant_net_moy_GBP,Montant_net_median_GBP
Achats positifs,Actifs rentables,1250,58.3616,8.556,3412.1033504,3176.5134144000003,2595.4700000000003
Achats positifs,Champions,587,17.998296422487222,28.557069846678022,17829.920586030665,16856.47658262351,8134.12
Achats positifs,Endormis faible valeur,1580,416.98227848101266,1.231012658227848,252.15159556962027,243.7378424050633,221.465
Achats positifs,Nouveaux occasionnels,1126,32.301065719360565,2.502664298401421,683.749948490231,669.7763872113677,595.925
Achats positifs,À risque,1335,303.15280898876404,3.5565543071161048,1337.7274179775281,1235.787567790262,986.61
Montant net,Actifs rentables,1207,27.628003314001656,19.182270091135045,10651.887188898094,10273.493452361225,4958.34
Montant net,Champions,42,375.6904761904762,1.880952380952381,7659.29,-787.4397619047621,-5.770000000002911
Montant net,Endormis faible valeur,1951,394.78780112762684,1.3854433623782676,324.89955458739104,314.8401184008201,267.9
Montant net,Nouveaux occasionnels,1228,28.28501628664495,3.030944625407166,845.2450260586319,827.7106205211726,717.685
Montant net,À risque,1450,227.1296551724138,5.042758620689655,1955.24324,1832.2262675862069,1436.19
